Word,Meaning,Part of Speech,Examples Sentence, Synonym,Topic,To Indonesian
Dated,"Marked with a date.
<old-fashioned.>",Adjective,"A signed and <dated> painting.
A <dated> expression.",date-or- old,Technology and Computer,Bertangal
Lasting,enduring or able to endure over a <long period of time>,Adjective,They left a <lasting> impression.,enduring-or- long-lasting-or- constant-or- durable-or- endless,Technology and Computer,Abadi
Impulsive,"Acting or <done without forethought.>
Acting as an impulse.",Adjective,They had married as young <impulsive> teenagers.,spontaneous-or- hasty-or- passionate-or- quick-or- reckless,Fashion,Bersifat Menuruntukan kata hati
Impractical,(of an object or course of action) <not adapted for use or action>; not sensible or realistic.,Adjective,"<Impractical> high heels.
His <impractical> romanticism.
Paul was <impractical> and dreamy.",unsuitable-or- not sensible-or- inappropriate-or- unserviceable,Fashion,Tidak Praktis
Inadequate,<Lacking the quality or quantity required>; insufficient for a purpose.,Adjective,These labels prove to be wholly <inadequate>.,insufficient-or- not enough-or- poor -or- too little-or- not good enough,City,Tidak Cukup
Pedestrian,"A person <walking along a road> or in a developed area.
Lacking inspiration or excitement; dull.",Noun-or- Adjective,"The road is so dangerous <pedestrians> avoid it.
Disechantment with their present-or- <pedestrian> lives.",walker-or- person on foot-or- hiker-or- dull,City,Pejalan Kaki
Commute,"<Travel> some distance between one's home and place of work on a regular basis.
reduce (a judicial sentence-or- especially a sentence of death) to one less severe.
A regular <journey> of some distance to and from one's <place> of work.",Verb-or- Noun,"She <commuted> from Westpor in to Grand Central Station.
He <commuted> the senteces of hundreds of convicts.
The daily <commute>.",travel to ad from work-or- shuttle-or- limit-or- cut-or- shorten-or- reduce.,City,Perjalanan
Pavement,Any <paved area> or surface.,Noun,People there selling their stuff in that <pavement>.,footway-or- sidewalk-or- paving-or-,City,Trotoar
slums,"A squalid and overcrowded urban street or district inhabited by <very poor people>.
Spend time at a lower social level than one's own through curiosity or for charitable purposes.",Noun-or- Verb,"Inner-city <slums>.
He bought some secondhand clothes-or- and <slummed> among the metropolis's underprivileged.",hovel-or- ghetto-or- shanty town-or- jhuggy,City,Daerah Kumuh
Outskirts,The <Outer parts> of a town or city.,Noun,"The park was built on the <outskirts> of New York in 1857.
He likes to e on the <outskirts> of a discussion.",edges-or- boundary-or- suburbs-or- barrio,City,Pinggirin Kota
Agricultural,relating to <agriculture>.,Adjective,"<Agricltural> land.
An <agricultural> Worker.",farm-or- rural-or- agrarian-or- rustic,Environment,Pertanian
Cultivate,"Prepare and use (land) for crops or gardening.
Try to <acquire or develop> (a quality-or- sentiment-or- or skill).",Verb,"The peasants who <cutivated> the land became its owners.
He <cultivated> an air  of indifference.",till-or- plow-or- dig-or- court-or- encourage-or- work,Environment,Mengolah
Erosion,The process of <eroding or being eroded by wind-or- water-or- or other natural agents>.,Noun,The problem of soil <erosion>.,,Environment,Erosi-or- Pengikisan-or- Longsor
Environmental,"Relating to the <natural world> and the impact of <human activity on its condition>.
Relating to or arising from a person's surroundings.",Adjective,"Acid rain may have caused major <environmental> damage.
<Environmental> noise.",,Environment,Lingkungan
Harness,"A set of straps and <fittings by which a horse> or other daft animal is fastened to a cart-or- plow-or- etc. and is controlled by its driver.
Put a harness on (a horse or other draft animal).
Control and make use of (natural resources)-or- especially to produce energy
",Noun-or- Verb,"How to groom a horse and <harness> it.
Attempts to <harness> solar energy.",tack-or- saddle-or- yoke-or- couple-or- control-or- exploit-or- mobilize,Energy,Memanfaatkan-or- Mengekang-or- Mamasang pakaian kuda
Sustainable,"<Able to be maintained> at a certain rate or level.
Able to be upheld or defended.",Adjective,"<Sustainable> fusion reactions.
<Sustainable> definitions of good educational practice.",,Energy,Berkelanjutan
Curb,"A <check or restraint> on something.
A type of bit that is widely used in western riding. In English riding it is usually only used with a snaffle as part of a double bridle.
Restrain or keep in check.",Noun-or- Verb,"<Curbs> on the power of labor unions.
She promised she would <curb> her temper",restrain-or- hold back-or- keep back-or- control-or- discipline,Energy,Mengendalikan
Emission,The Production and <discharge> of something-or- especially gas or radiation.,Noun,The effects of lead <emission> on health.,discharge-or- release-or- leak-or- venting-or- effusion,Energy,Pemancaran
Self-esteem,Confidence in one's own <worth or abilities; self- respect.>,Noun,Assertiveness training for those with low <self-esteem>.,self-respect-or- self-regard-or- pride-or- dignity.,People,Penghargaan Diri
Stereotypical,Relating to a widely held but fixed and <oversimplified image> or idea of a particular type of person or thing.,Adjective,He fits the <stereotypical> masculine image of toughness.,,People,Stereotip
Augment,Make (something) <greater by adding to it; increase>.,Verb,He <augmented> his summer income by painting houses.,increase-or- make larger-or- add to-or- extend-or- expand,Environment,Menambah
Rejuvenate,<Give new energy> or vigor to; revitalize.,Verb,"A new challenge may be just what he needs to <rejuvenate> his career.
THe Central Bank announced bold stimulus measures to <rejuvenate> the economy.",refresh-or- update-or- recover-or- rehabilitate-or- revitalize,City,Meremajakan-or- Memulihkan-or- Menyegarkan
Conceal,Keep from sight; <hide>,Verb,A line of sand dunes <concealed> the distant sea.,hide-or- keep out of sight-or- secrete-or- cover-or- private,Environment,Menutupi-or- Merahasiakan
Erode,(of wind-or- water-or- or other natural agents) <gradually wear away> (soil-or- rock-or- or land).,Verb,The cliffs have been <eroded> by the sea,,Space,Mengalami Erosi-or- melongsorkan
Witty,Showing or characterized by quick and <inventive verbal humor>.,Adjective,"A <witty> remark.
Marlowe was charming and <witty>.",humorous-or- amusing-or- funny-or- sparkling,People,Jenaka-or- Pintar Lucu
Insipid,<Lacking flavor>.,Adjective,"Mugs of <insipid> coffee.
Many artit continued to churn out <insipid>-or- shallow works.",tasteless-or- flavorless-or- unflavored-or- unpalatable,Travel & Places,Hambar-or- Tawar
Banal,So lacking in originality as to be <obvious and boring>.,Adjective,Songs with <banal>-or- repeated words.,trite-or- clicched-or- overworked-or- overdone-or- dull,Environment,Dangkal-or- Biasa
Panacea,A <solution> or remedy for <all difficulties or diseases.>,Noun,"The <panacea> for all corporate ills.
The time-honored <panacea>-or- cod liver oil.",elixir-or- heal-all-or- cure-all,Health,Obat Mujarab-or- Obat untuk Segala Penyakit
Herald,"An official <messanger bringing news>.
A person or thing viewed as a sign that something is about to happen.
Be a sign that (something) is about to happen.",Noun-or- Verb,"They considered the first primroses as the <herald> of spring.
The speech <heralded> a change in policy.",harbinger-or- sign-or- indicator-or- signal-or- announce,People,Bentaram-or- Pengabar-or- Penyiar-or- Pengabar-or- Memperjanjikan
Scornful,Feeling or <expressing contempt or derision>.,Adjective,"<Scornful> laughter.
I have been <scornful> of such behavior by others in the past.",contemptous-or- snide-or- withering-or- mocking-or- snering,People,Sinis-or- Menghinakan-or- yang mempunyai rasa penghinaan
Epitome,"A person or thing that is a perfect example of a particular <quality or type>.
A <summary of a written work>; an abstract.",Noun,She looked the <epitome> of elegance and good taste.,personification-or- model-or- symbol-or- badge-or- prototype-or- tpe-or- zenith,Environment,Lambang-or- contoh-or- ringkasan
Severe,"(of something <bad or undesirable>) very great; instense.
<Strict> or harsh.
Very plain in style or appearance.",Adjective,"A <severe> shortage of technicians.
The charges would have warranted a <severe> sentence.
She wore another <severe> suit-or- gray this time.",acute-or- serious-or- grave-or- critical-or- dire-or- wild-or- harsh-or- better,Energy,Parah-or- Berat-or- Hebat-or- Keras
Clangorous,Characterized by or making a continuous <loud banging or ringin sound>.,Adjective,"Harsh-or- <clangorous> percussion.
The <clangorous> melody of Notre Dame.",,Environment,Berisik
Hortatory,Tending or <aiming to exhort>.,Adjective,The central bank relied on <hortatory> messages and voluntary compliance.,exhortatory-or- exhortative-or- exhorting-or- moralistic,Travel & Places,Yang Menegur-or- Yang Memberi Petunjuk
Adverse,<Preventing success> or development; harmful; unfavorable,Adjective,"Taxes are having an <adverse> effect on production.
<Adverse> weather conditions.",unfavorable-or- inauspicious-or- nasty-or- bad-or- poor-or- harmful,Travel & Places,Bermusuhan-or- Yang Berlawanan-or- Yang merugikan
Obtuse,"Annnonyingly insensitive or <slow to understand>.
(of an angle) more than 90 deg and less than 180 deg.
<Not sharp-pointed> or shart-edged; blunt.",Adjective,"He wondered if the doctor was being deliberately <obtuse>.
An <obtuse> angle of 150 deg.
it hd strange <obtuse> teeth.",dull-or- slow-or- doltish-or- stolid-or- insensitive-or- thick-skinned-or- dense,Environment,Tumpul-or- Bodoh
Tranasgression,An act that goes <against a law-or- rule-or- or code of conduct>; an offense.,Adjective,"I'll be keeping an eye out for further <transgression>.
her <transgression> of etiquette.",crime-or- offense-or- bad behavior-or- violation-or- error,People,Pelanggaran-or- Dosa-or- Salah
veracious,Speaking or <representing the truth>.,Adjective,A <veracious> account,true-or- accurate-or- correct-or- exact,People,Tulus-or- Benar-or- Jujur
Incendiary,"(of a device or attack) designed to <cause fires>.
An incendiary bomb or device.",Adjective-or- Noun,"An <incendiary> slogan. 
<Incendiary> rhetoric.
<Incendiary> grenades.",bomb-or- combustible-or- flammable-or- fire-producing,Energy,Pembakar-or- Pengacau-or- Yang menyebabkan Kebakaran
Scintillating,Sparkling or <shining brightly>.,Adjective,"The <scintillating> sun.
The audience loved his <scintillating> wit.
The team produced a <scintillating> second-half performance.",sparkling-or- shining-or- bright-or- brilliant,Energy,Gemilang-or- Gemerlap
Pathetic,"Arousing pity-or- especially through vulnerability or <sadness>.
Miserably inadequate; of very low standard.
<Relating to the emotions>.",Adjective,"She looked so <pathetic> that I bent down to comfort her.
He's a <pathetic> excuse for a man.
It was a <pathetic> sight.",pitful-or- piteous-or- touching-or- heartbreaking-or- poor-or- tragic-or- sad-or- sorry,People,Sedih-or- Pedih
Buoyant,"Able or apt to stay a <float or rise to the top of a liquid> or gas.
Cheerful and optimistic.
(of an economy-or- business-or- or market) involving or enganged in much activity.",Adjective,"The conference ended with the party in a <buoyant> mood.
Car sales were not <buoyan>t.
<Buoyant> water.",able to float-or- floating-or- cheerful-or- bright-or- strong-or- developing.,Environment,Ringan-or- Melayang-or- Meluap-or- Yang bisa timbul
Daunting,Seeming difficult to deal with in anticipation; <intimidating>.,Adjective,A <daunting> task.,intimidating-or- formidable-or- unsettling-or- forbidding-or- challenging,Community,Menakutkan-or- Mengecilkan Hati-or- Menjerakkan
Meager,(of something procided or available) <lacking in quantity or quality>.,Adjective,They were forced to supplement their <meager> earnings.,inadequate-or- scant-or- restricted-or- modest-or- spare-or- slight,People,Kurus-or- Amat Kecil-or- Tidak Lengkap
Morbid,"Characterized by an <unusual interest in disturbing> and unpleasant subjects-or- especially death and disease.
Of the nature of or indicative of disease.",Adjective,"He had a <morbid> fascination with the horrors of contemporary warfare.
The treatment of <morbid> obesity.",ghoulish-or- macabre-or- unhealthy-or- grisly-or- diseased-or- pathological,Health,Mengerikan-or- Tidak Wajar-or- Yang Berpenyakit
Shrewd,"Having or showing <sharp powers of judgment>; astute.
(especially of weather) piercingly cold.",Adjective,"She was <shrewd> enough to guess the motive behind his gesture.
A <shrewd> east wind.",astute-or- sharp-or- acute-or- intelligent-or- alert-or- canny-or- suss-or- pawky,People,Lihai-or- Cerdas-or- Licin-or- Tajam Berpikir
Canny,Having or <showing shrewdness and good judgment>-or- especially in money or business matters.,Adjective,<Canny> shoppers came early for a bargain.,shrewd-or- sharp-or- wise-or- clever-or- acute-or- sharp,People,Cerdik-or- Lihai-or- Licik
Ruthless,Having <showing no pity> or compassion for others.,Adjective,A <ruthless> manipulator.,merciless-or- pitiless-or- cruel-or- heartless-or- hard-or- unfeeling,People,Kejam-or- Bengis-or- Buas
Proliferation,<Rapid increase in numbers.>,Noun,"A continuing threat of nuclear <proliferation>.
Stress levels are high-or- forcing upon them a <proliferaion> of ailments.
we attempted measure cell <proliferation>.",,Environment,Proliferasi-or- Perkembang-biakan
Coincided,Occur at or during <the same time>.,Verb,Publication is timed to <coincide> with a major exhibition.,coexist-or- concur-or- clash-or-  conflict,Community,Bertepatan-or- Bersamaan-or- Berhimpiat-or- Serupa
Solitude,The state or situation of <being alone>.,Noun,She savored her few hours of freedom and <solitude>.,loneliness-or- solitariness-or- isolation-or- peace-or- retirement,People,Kesendirian-or- Kesunyian-or- Kesepian-or- Tempat Sunyi / Sepi.
Fallible,Capable of <making mistakes> or being errorneous.,Adjective,Exprerts can be <fallible>.,error-prone-or- imperfect-or- flawed-or- weak,Environment,Bisa Salah-or- Yang Dapat Keliru-or- Yang Dapat Berbuat Salah
Sociable,<Willing to talk> and engage in activities with other people; friendly.,Adjective,Being a <sociable> person-or- Eva loved entertaining.,friendly-or- affable-or- responsive-or- extrovert-or- warm,People,Ramah-or- Supel-or- Peramah
Tendency,An inclination toward a particular <characteristic or type of behavior>.,Noun,For students-or- there is a tendency to <socialize> in the evenings.,proneness-or- aptness-or- leaning-or- penchant-or- turn-or- bias,Environment,Kecenderungan-or- tendensi-or- gejala
Hardwire,"Make (a function) a permanent <feature in a computer> by means of permanently connected circuits-or- so that it cannot be altered by software.
Make (a pattern of behavior or belief) standard or instinctive.",Verb,"The rate at which the supply of bitcoins grows is <hardwired> int the system.
It takes about thee weeks for a new habit to be <hardwired> in your brain.",,Technology and Computer,Terprogram
Habitually,By way of habit; <customarily>.,Adverbia,He <habitually> carried a pocketknife,usually-or- normally-or- generally-or- mostly,,Biasanya
Sedentary,(of a person) tending to spend much time <seated; somewhat inactive>.,Adjective,We all walk a certain amount every day even if we are <sedentary>.,sitting-or- seated-or- desk-or- incative-or- still,Health & Fitness,Yang Tidak Bergerak-or- Yang Menetap-or- Yang Dikerjakan Sambil Duduk
Tainted,<Contaminate or pollute> (something).,Verb,The air was <tainted> by fumes from the cars.,contamintae-or- pollute-or- infect-or- spoil,City,Tercemar-or- Kotor-or- Busuk
Detrimental,Tending to <cause harm>.,Adjective,Moving her could have a <detrimental> effect on her health.,harmful-or- damaging-or- injurious-or- bad-or- evil-or- dangerous,Health & Fitness,Merugikan
Intake,"An <amount of food-or- air-or- or another substance taken into the body>.
A location or structure through which something is taken in-or- e.g.-or- water into a channel or pipe from a river-or- fuel or air into an engine or machine-or- commodities into a place-or- etc.",Noun,"Your daily <intake> of calories.
Cut rectangular holes for the air <intake>.",,Health & Fitness,Asupan
Eradicate,<Destroy completely>; put an end to.,Verb,This disease has been <eradicated> from the world.,get rid of-or- eliminate-or- do away with-or- remove-or- kill-or- wipe out,Health & Fitness,Membasmi
Severity,The fact or <condition of being severe>.,Noun,Sentences should reflect the <severity> of the crime.,acuteness-or- seriousness-or- gravity-or- severeness-or- violence,Health & Fitness,Kerasnya-or- Kejamnya-or- Kekerasan
Prevent,"<Keep (something) from happening or arising>.
(of God) go before (someone) with spiritual guidance and help.",Verb,"Action must be taken to <prevent> further accidents.
Window locks won't <prevent> a determined burglar from getting in.",stop-or- preclude-or- dissallow-or- curb-or- hinder-or- block,Health & Fitness,Mencegah-or- Menghalangi-or- Menjaga
Ascertain,find (something) out for certain; <make sure of>.,Verb,"An attempt to <ascertain> the cause of the accident.
Management should <ascertain> whether adequate funding can be provided.",find out-or- discover-or- make sure-or- identify,Health & Fitness,Memastikan-or- Mengetahui-or- Meyakinkan
Breakthrough,"A sudden-or- dramatic-or- and important <discovery or development>.
Denoting a symptomatic case of a disease occuring despite preventative medication-or- vaccination-or- or prior infection.",Noun,"A major <breakthrough> in DNA research.
We're seeing more and more of these <breakthrough> infections.
The band's <breakthrough> album.
Her big <breakthrough> came on the stage when she won a Tony Award 1958.",advance-or- development-or- step forward-or- find-or- advancement,Science,Terobosan-or- Pemecahan-or- Penerobosan
Absorb,"<Take in or soak up> (energy or a liquid or other subtance) by chemical or physical action.
Take up the attention of (someone); interest greatly.",Verb,"Buildings can be designed to <absorb> and retain heat.
She sat in an armchair-or- <absorbed> in a book.",soak up-or- take up/in-or- mop up-or- suck up-or- rivet-or- grip,Science,Menyerap-or- Mengabsorpsi
Quantify,"Express or <measure the quantity> of.
Define the application of (a term or proposition) by the use of all-or- some-or- etc.-or- e.g.-or- ""for all x if x is A then x is B"".",Verb,It's very hard to <quantify> the cost., ,Science,Mengukur
Considerate,<Careful not to cause inconvenience> or hurt to others.,Adjective,The quietest and most <considerate> tenants possible.,attentive-or- thoughtful-or- helpful-or- generous-or- polite,Community,Penuh Perhatian-or- Peka
